nct_number,study_title,study_url,study_status,conditions,interventions,sponsor,collaborators,sex,age,phases,enrollment,study_type,start_date,completion_date,locations
NCT03593941,Ageing Gut Brain Interactions,https://clinicaltrials.gov/study/NCT03593941,completed,dementia alzheimers,other: standard diet,university of aberdeen,NHS Grampian|Tenovus Scotland,all,older_adult,,60,observational,2018-08-02,2020-01-31,"university of aberdeen, aberdeen, grampian, ab25 2zd, united kingdom"
NCT04623242,Dominantly Inherited Alzheimer Network Trial: An Opportunity to Prevent Dementia. A Study of Potential Disease Modifying Treatments in Individuals at Risk for or With a Type of Early Onset Alzheimer's Disease Caused by a Genetic Mutation.,https://clinicaltrials.gov/study/NCT04623242,completed,"alzheimers disease|dementia|alzheimers disease, familial",drug: gantenerumab|drug: solanezumab|drug: matching placebo (gantenerumab)|drug: matching placebo (solanezumab),washington university school of medicine,Eli Lilly and Company|Hoffmann-La Roche|Alzheimer's Association|National Institute on Aging (NIA)|Avid Radiopharmaceuticals|Accelerating Medicines Partnership (AMP),all,"adult, older_adult",PHASE2|PHASE3,194,interventional,,2020-03-06,"university of alabama in birmingham, birmingham, alabama, 35294, united states|university of california san diego medical center, la jolla, california, 92037, united states|yale university school of medicine, new haven, connecticut, 06510, united states|emory university, atlanta, georgia, 30329, united states|indiana university school of medicine, indianapolis, indiana, 46202, united states|washington university in st. louis, saint louis, missouri, 63110, united states|columbia university, new york, new york, 10032, united states|university of pittsburgh, pittsburgh, pennsylvania, 15213, united states|butler hospital, providence, rhode island, 02096, united states|university of washington, seattle, washington, 98195, united states|neuroscience research australia, randwick, new south wales, 2031, australia|mental health research institute, melbourne, victoria, 3010, australia|the mccuster foundation of alzheimer's disease research, nedlands, western australia, 6009, australia|ubc hospital, vancouver, british columbia, v6t 2b5, canada|sunnybrook health sciences centre, toronto, ontario, m4n 3m5, canada|mcgill center for studies in aging, verdun, quebec, h4h 1r3, canada|chu de toulouse - hôpital purpan, toulouse, haute garonne, 31059, france|hopital roger salengro - chu lille, lille, nord, 59037, france|groupe hospitalier pitie-salpetriere, paris cedex 13, paris, 69677, france|hopital neurologique pierre wertheimer, bron cedex, rhone, 69677, france|chu de rouen - hôpital charles nicolle, rouen, seine maritime, 76031, france|st vincent's university hospital, dublin, dublin 4, ireland|university of puerto rico, school of medicine, san juan, 00936, puerto rico|hospital clínic i provincial de barcelona, barcelona, 8036, spain|the national hospital for neurology and neurosurgery, london, greater london, wc1b 3bg, united kingdom"
NCT04023994,"A Single Ascending Dose Study to Investigate the Safety, Tolerability, Immunogenicity and Pharmacokinetics of Intravenously Administered RO7126209 in Healthy Participants",https://clinicaltrials.gov/study/NCT04023994,completed,alzheimers disease,drug: ro7126209|drug: placebo,hoffmann-la roche,,male,adult,PHASE1,36,interventional,2019-08-03,2020-07-17,"pra health sciences, raleigh, north carolina, 27612, united states"
NCT03718494,Continuation of The Kronos Early Estrogen Prevention Study (KEEPS),https://clinicaltrials.gov/study/NCT03718494,completed,alzheimer dementia,diagnostic_test: brain magnetic resonance imaging (mri)|diagnostic_test: f-18 florbetapir positron emission tomography (pet) imaging|diagnostic_test: f-18 av-1451 positron emission tomography (pet) imaging|other: neuropsychological testing,mayo clinic,"Columbia University|Yale University|Utah State University|Brigham and Women's Hospital|Banner Alzheimer's Institute|University of California, San Francisco|National Institute on Aging (NIA)",female,"adult, older_adult",,299,observational,2019-05-22,2022-09-01,"banner health, phoenix, arizona, 85032, united states|university of california san francisco, san francisco, california, 94158, united states|yale university, new haven, connecticut, 06520, united states|brigham and women's hospital, boston, massachusetts, 02115, united states|columbia university, new york, new york, 10027, united states|university of utah, salt lake city, utah, 84112, united states"
NCT03811847,A Pilot of Methylphenidate in Mild Cognitive Impairment and Dementia Participants.,https://clinicaltrials.gov/study/NCT03811847,completed,alzheimer dementia,drug: methylphenidate extended release oral capsule|other: placebo,massachusetts general hospital,,all,"adult, older_adult",PHASE4,11,interventional,2019-11-01,2021-08-30,"massachusetts general hospital, clinical translational research unit, charlestown, massachusetts, 02129, united states"
NCT03724942,Brexpiprazole for the Long-term Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type,https://clinicaltrials.gov/study/NCT03724942,completed,agitation associated with dementia of the alzheimer's type,drug: brexpiprazole,"otsuka pharmaceutical co., ltd.",,all,"adult, older_adult",PHASE3,164,interventional,2018-11-09,2022-01-05,"jisenkai nanko psychiatric institute, shirakawa, japan"
NCT03620981,Brexpiprazole for the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type,https://clinicaltrials.gov/study/NCT03620981,completed,agitation associated with dementia of the alzheimer's type,drug: brexpiprazole|drug: placebo,"otsuka pharmaceutical co., ltd.",,all,"adult, older_adult",PHASE2|PHASE3,410,interventional,2018-08-20,2023-05-15,"jisenkai nanko psychiatric institute, shirakawa, japan"
NCT02442765,"Efficacy, Safety and Tolerability of AVP-786 for the Treatment of Agitation in Patients With Dementia of the Alzheimer's Type",https://clinicaltrials.gov/study/NCT02442765,completed,agitation in patients with dementia of the alzheimer's type,drug: avp-786|drug: placebo,"otsuka pharmaceutical development & commercialization, inc.",,all,"adult, older_adult",PHASE3,387,interventional,2015-07-23,2019-02-27,"clinical research site, phoenix, arizona, 85032, united states|clinical research site, scottsdale, arizona, 85254, united states|clinical research site, little rock, arkansas, 72209, united states|clinical research site#1, irvine, california, 92697, united states|clinical research site#2, irvine, california, 92697, united states|clinical research site, long beach, california, 90806, united states|clinical research site, oceanside, california, 92056, united states|clinical research site, orange, california, 92868, united states|clinical research site#1, san diego, california, 92103, united states|clinical research site#2, san diego, california, 92103, united states|clinical research site, santa ana, california, 92704, united states|clinical research site, tustin, california, 92780, united states|clinical research site, denver, colorado, 80209, united states|clinical research site, cromwell, connecticut, 06416, united states|clinical research site, new london, connecticut, 06320, united states|clinical research site, norwalk, connecticut, 06851, united states|clinical research site, atlantis, florida, 33462, united states|clinical research site, boca raton, florida, 33428, united states|clinical research site, brandon, florida, 33511, united states|clinical research site#1, coral gables, florida, 33134, united states|clinical research site#2, coral gables, florida, 33134, united states|clinical research site#3, coral gables, florida, 33134, united states|clinical research site#1, deerfield beach, florida, 33064, united states|clinical research site, doral, florida, 33166, united states|clinical research site, hialeah, florida, 33012, united states|clinical research site#1, hialeah, florida, 33016, united states|clinical research site#2, hialeah, florida, 33016, united states|clinical research site, jacksonville, florida, 32256, united states|clinical research site, kendall, florida, 33175, united states|clinical research site, kissimmee, florida, 34741, united states|clinical research site, kissimmee, florida, 34744, united states|clinical research site, lake worth, florida, 33449, united states|clinical research site, miami, florida, 33122, united states|clinical research site#1, miami, florida, 33125, united states|clinical research site#2, miami, florida, 33125, united states|clinical research site, miami, florida, 33126, united states|clinical research site, miami, florida, 33133, united states|clinical research site#1, miami, florida, 33135, united states|clinical research site#2, miami, florida, 33135, united states|clinical research site, miami, florida, 33136, united states|clinical research site, miami, florida, 33137, united states|clinical research site, miami, florida, 33144, united states|clinical research site, miami, florida, 33145, united states|clinical research site, miami, florida, 33165, united states|clinical research site, miami, florida, 33175, united states|clinical research site#2, miami, florida, 33176, united states|clinical research site, miami, florida, 33183, united states|clinical research site, miami, florida, 33467, united states|clinical research site, naples, florida, 34102, united states|clinical research site, oakland park, florida, 33334, united states|clinical research site, orlando, florida, 32819, united states|clinical research site, ormond beach, florida, 32174, united states|clinical research site, palm beach gardens, florida, 33410, united states|clinical research site, palmetto bay, florida, 33157, united states|clinical research site#2, pompano beach, florida, 33064, united states|clinical research site, saint petersburg, florida, 33713, united states|clinical research site, sarasota, florida, 34243, united states|clinical research site#1, tampa, florida, 33609, united states|clinical research site#2, tampa, florida, 33609, united states|clinical research site#2, tampa, florida, 33613, united states|clinical research site, tampa, florida, 33634, united states|clinical research site, the villages, florida, 32162, united states|clinical research site, west palm beach, florida, 33407, united states|clinical research site, winter park, florida, 32789, united states|clinical research site, atlanta, georgia, 30342, united states|clinical research site, newnan, georgia, 30265, united states|clinical research site, honolulu, hawaii, 96817, united states|clinical research site, schaumburg, illinois, 60194, united states|clinical research site, indianapolis, indiana, 46202, united states|clinical research site, lenexa, kansas, 66214, united states|clinical research site, paducah, kentucky, 42003, united states|clinical research site, bedford, massachusetts, 01730, united states|clinical research site, quincy, massachusetts, 02169, united states|clinical research site, ann arbor, michigan, 48105, united states|clinical research site, paw paw, michigan, 49079, united states|clinical research site, hattiesburg, mississippi, 39401, united states|clinical research site, creve coeur, missouri, 63141, united states|clinical research site, saint louis, missouri, 63128, united states|clinical research site, mount arlington, new jersey, 07856, united states|clinical research site, toms river, new jersey, 08755, united states|clinical research site, west long branch, new jersey, 07764, united states|clinical research site, amherst, new york, 14226, united states|clinical research site, brooklyn, new york, 11229, united states|clinical research site, new york, new york, 10032, united states|clinical research site, new york, new york, 10036, united states|clinical research site, orangeburg, new york, 10962, united states|clinical research site, rochester, new york, 14620, united states|clinical research site, staten island, new york, 10312, united states|clinical research site, durham, north carolina, 27710, united states|clinical research site, winston-salem, north carolina, 27157, united states|clinical research site, akron, ohio, 44320, united states|clinical research site, cincinnati, ohio, 45219, united states|clinical research site#1, columbus, ohio, 43210, united states|clinical research site#2, columbus, ohio, 43210, united states|clinical research site, dayton, ohio, 45459, united states|clinical research site, westerville, ohio, 43082, united states|clinical research site, edmond, oklahoma, 73012, united states|clinical research site, oklahoma city, oklahoma, 73103, united states|clinical research site, oklahoma city, oklahoma, 73106, united states|clinical research site, oklahoma city, oklahoma, 73112, united states|clinical research site, moosic, pennsylvania, 18507, united states|clinical research site, willow grove, pennsylvania, 19090, united states|clinical research site, east providence, rhode island, 02914, united states|clinical research site, charleston, south carolina, 29401, united states|clinical research site#2, cordova, tennessee, 38018, united states|clinical research site, dallas, texas, 75231, united states|clinical research site, dallas, texas, 75390-8898, united states|clinical research site, irving, texas, 75062, united states|clinical research site, mansfield, texas, 76063, united states|clinical research site, clinton, utah, 84015, united states|clinical research site, woodstock, vermont, 05091, united states|clinical research site#1, tallinn, 11315, estonia|clinical research site#2, tallinn, 11315, estonia|clinical research site, tartu, 50406, estonia|clinical research site, mittweida, 9648, germany|clinical research site, lublin, lubelskie, 20-093, poland|clinical research site, bydgoszcz, 85-163, poland|clinical research site, kielce, 25-411, poland|clinical research site, lublin, 20-064, poland|clinical research site, poznan, 60-369, poland|clinical research site, poznan, 61-853, poland|clinical research site, pruszcz gdanski, 83-000, poland|clinical research site, siemianowice śląskie, 41-100, poland|clinical research site, torres vedras, 2560-280, portugal|clinical research site, bayamon, 961, puerto rico|clinical research site, san juan, 918, puerto rico"
NCT02442778,"Efficacy, Safety, and Tolerability of AVP-786 for the Treatment of Agitation in Participants With Dementia of the Alzheimer's Type",https://clinicaltrials.gov/study/NCT02442778,completed,agitation in participants with dementia of the alzheimer's type,drug: avp-786-18|drug: placebo|drug: avp-786-28|drug: avp-786-42.63,"otsuka pharmaceutical development & commercialization, inc.",,all,"adult, older_adult",PHASE3,522,interventional,2015-11-11,2019-09-09,"brain and spine center, chandler, arizona, 85226, united states|territory neurology & research institute, tucson, arizona, 85704, united states|health initiatives research, fayetteville, arkansas, 72703, united states|behavioral research specialists, llc, glendale, california, 91206, united states|irvine center for clinical research, irvine, california, 92614, united states|california neurological services, panorama city, california, 91402, united states|havana research institute, pasadena, california, 91105, united states|pacific research network, inc, san diego, california, 92103, united states|syrentis clinical research, santa ana, california, 92705, united states|viking clinical research, temecula, california, 92591, united states|denver neurological research, llc, denver, colorado, 80210, united states|jem research institute, atlantis, florida, 33462, united states|clinical research of brandon, llc, brandon, florida, 33511, united states|meridien research, brooksville, florida, 34601, united states|moonshine research center, inc, doral, florida, 33166, united states|science connections, llc, doral, florida, 33166, united states|finlay medical research corp, greenacres city, florida, 33467, united states|indago research & health center, inc., hialeah, florida, 33012, united states|new life medical research center, inc., hialeah, florida, 33012, united states|reliable clinical research,llc, hialeah, florida, 33012, united states|research in miami, inc, hialeah, florida, 33013, united states|the research center, inc, hialeah, florida, 33013, united states|maxblue institute, hialeah, florida, 33018, united states|clinical neuroscience solutions, inc., jacksonville, florida, 32256, united states|alzheimer's research and treatment center, lake worth, florida, 33449, united states|premier clinical research institute, inc., miami, florida, 33122, united states|project 4 research, miami, florida, 33125, united states|biomed research institute, miami, florida, 33126, united states|ccm clinical research group, miami, florida, 33133, united states|dade research center, llc, miami, florida, 33135, united states|amb research center, inc., miami, florida, 33144, united states|united health research corp, miami, florida, 33144, united states|advance medical research center, miami, florida, 33165, united states|coral research clinic corp, miami, florida, 33175, united states|p&s reasearch, miami, florida, 33175, united states|the neurology research group, llc, miami, florida, 33176, united states|kendall research institute, miami, florida, 33183, united states|nuovida research center corp., miami, florida, 33186, united states|collier neurologic specialists, llc, naples, florida, 34102, united states|lazlo j. mate, md, pa, north palm beach, florida, 33408, united states|compass research, llc, orlando, florida, 32806, united states|imic inc., palmetto bay, florida, 33157, united states|university of west florida, pensacola, florida, 32514, united states|neurology research institute palm beach, llc, west palm beach, florida, 33407, united states|emory brain health center, atlanta, georgia, 30329, united states|columbus research & wellness institute, inc, columbus, georgia, 31904, united states|josephson wallack munshower neurology, pc, indianapolis, indiana, 46256, united states|baptist health medical group, richmond, kentucky, 40475, united states|the samuel & alexia bratton memory clinic, easton, maryland, 21601, united states|mir neurology, hagerstown, maryland, 21742, united states|boston center for memory, newton, massachusetts, 02459, united states|amac research institute, north dartmouth, massachusetts, 02747, united states|michigan state university, east lansing, michigan, 48824, united states|center for emotional fitness, cherry hill, new jersey, 08002, united states|the neurocognitive institute, mount arlington, new jersey, 07856, united states|brooklyn medical institute, brooklyn, new york, 11214, united states|integrative clinical trials, llc, brooklyn, new york, 11229, united states|eastside comprehensive medical center, llc, new york, new york, 10128, united states|burke rehabilitation hospital, white plains, new york, 10605, united states|herbert harris, md, phd, pa, chapel hill, north carolina, 27517, united states|ani neurology pllc dba alzheimer's memory center, charlotte, north carolina, 28270, united states|daystar clinical research inc, akron, ohio, 44313, united states|valley medical research, centerville, ohio, 45459, united states|cti clinical research center, cincinnati, ohio, 45212, united states|cleveland clinic lou ruvo center for brain health at lakewood hospital, lakewood, ohio, 44107, united states|heritage valley medical group, inc., beaver, pennsylvania, 15009, united states|the birches at newton / family medical associates, levittown, pennsylvania, 19056, united states|thomas jefferson university, philadelphia, pennsylvania, 19107, united states|rh johnson va medical center, charleston, south carolina, 29401, united states|bg neurology, spartanburg, south carolina, 29307, united states|texas neurology, p.a., dallas, texas, 75214, united states|baylor college of medicine, houston, texas, 77030, united states|houston methodist neurological institute, houston, texas, 77030, united states|clinical trial network, houston, texas, 77074, united states|texas medical research associates, l.l.c., san antonio, texas, 78238, united states|pharmaceuticals research associates, inc., salt lake city, utah, 84107, united states|clinical neuroscience research associates, inc. dba the memory clinic, bennington, vermont, 05201, united states|veteran affairs medical center, salem virginia, salem, virginia, 24153, united states|ipc research, waukesha, wisconsin, 53188, united states|dr. alexander mcintyre inc., calgary, alberta, n7l 1c1, canada|the medical art health research group, kelowna, bristish columbia, canada|the medical art health research group, penticton, bristish columbia, canada|the medical art health research group, west vancouver, bristish columbia, canada"
NCT03602391,The Senior Companion Program Plus,https://clinicaltrials.gov/study/NCT03602391,completed,family|alzheimer dementia,behavioral: scp plus,the university of texas at arlington,National Institute on Aging (NIA),all,"adult, older_adult",,20,interventional,2019-05-16,2023-06-30,"the senior source, dallas, texas, 75219, united states"
