NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Study Type,Start Date,Completion Date,Locations
NCT03593941,Ageing Gut Brain Interactions,https://clinicaltrials.gov/study/NCT03593941,COMPLETED,Dementia Alzheimers,OTHER: Standard Diet,University of Aberdeen,NHS Grampian|Tenovus Scotland,ALL,OLDER_ADULT,,60,OBSERVATIONAL,2018-08-02,2020-01-31,"University of Aberdeen, Aberdeen, Grampian, AB25 2ZD, United Kingdom"
NCT04623242,Dominantly Inherited Alzheimer Network Trial: An Opportunity to Prevent Dementia. A Study of Potential Disease Modifying Treatments in Individuals at Risk for or With a Type of Early Onset Alzheimer's Disease Caused by a Genetic Mutation.,https://clinicaltrials.gov/study/NCT04623242,COMPLETED,"Alzheimers Disease|Dementia|Alzheimers Disease, Familial",DRUG: Gantenerumab|DRUG: Solanezumab|DRUG: Matching Placebo (Gantenerumab)|DRUG: Matching Placebo (Solanezumab),Washington University School of Medicine,Eli Lilly and Company|Hoffmann-La Roche|Alzheimer's Association|National Institute on Aging (NIA)|Avid Radiopharmaceuticals|Accelerating Medicines Partnership (AMP),ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,194,INTERVENTIONAL,2012-12,2020-03-06,"University of Alabama in Birmingham, Birmingham, Alabama, 35294, United States|University of California San Diego Medical Center, La Jolla, California, 92037, United States|Yale University School of Medicine, New Haven, Connecticut, 06510, United States|Emory University, Atlanta, Georgia, 30329, United States|Indiana University School of Medicine, Indianapolis, Indiana, 46202, United States|Washington University in St. Louis, Saint Louis, Missouri, 63110, United States|Columbia University, New York, New York, 10032, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, 15213, United States|Butler Hospital, Providence, Rhode Island, 02096, United States|University of Washington, Seattle, Washington, 98195, United States|Neuroscience Research Australia, Randwick, New South Wales, 2031, Australia|Mental Health Research Institute, Melbourne, Victoria, 3010, Australia|The McCuster Foundation of Alzheimer's Disease Research, Nedlands, Western Australia, 6009, Australia|UBC Hospital, Vancouver, British Columbia, V6T 2B5, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, M4N 3M5, Canada|McGill Center for Studies in Aging, Verdun, Quebec, H4H 1R3, Canada|CHU de Toulouse - Hôpital Purpan, Toulouse, Haute Garonne, 31059, France|Hopital Roger Salengro - CHU Lille, Lille, Nord, 59037, France|Groupe Hospitalier Pitie-Salpetriere, Paris cedex 13, Paris, 69677, France|Hopital Neurologique Pierre Wertheimer, Bron cedex, Rhone, 69677, France|CHU de Rouen - Hôpital Charles Nicolle, Rouen, Seine Maritime, 76031, France|St Vincent's University Hospital, Dublin, DUBLIN 4, Ireland|University of Puerto Rico, School of Medicine, San Juan, 00936, Puerto Rico|Hospital Clínic I Provincial de Barcelona, Barcelona, 8036, Spain|The National Hospital for Neurology and Neurosurgery, London, Greater London, WC1B 3BG, United Kingdom"
NCT04023994,"A Single Ascending Dose Study to Investigate the Safety, Tolerability, Immunogenicity and Pharmacokinetics of Intravenously Administered RO7126209 in Healthy Participants",https://clinicaltrials.gov/study/NCT04023994,COMPLETED,Alzheimers Disease,DRUG: RO7126209|DRUG: Placebo,Hoffmann-La Roche,,MALE,ADULT,PHASE1,36,INTERVENTIONAL,2019-08-03,2020-07-17,"PRA Health Sciences, Raleigh, North Carolina, 27612, United States"
NCT03718494,Continuation of The Kronos Early Estrogen Prevention Study (KEEPS),https://clinicaltrials.gov/study/NCT03718494,COMPLETED,Alzheimer Dementia,DIAGNOSTIC_TEST: Brain Magnetic Resonance Imaging (MRI)|DIAGNOSTIC_TEST: F-18 Florbetapir Positron Emission Tomography (PET) Imaging|DIAGNOSTIC_TEST: F-18 AV-1451 Positron Emission Tomography (PET) Imaging|OTHER: Neuropsychological Testing,Mayo Clinic,"Columbia University|Yale University|Utah State University|Brigham and Women's Hospital|Banner Alzheimer's Institute|University of California, San Francisco|National Institute on Aging (NIA)",FEMALE,"ADULT, OLDER_ADULT",,299,OBSERVATIONAL,2019-05-22,2022-09-01,"Banner Health, Phoenix, Arizona, 85032, United States|University of California San Francisco, San Francisco, California, 94158, United States|Yale University, New Haven, Connecticut, 06520, United States|Brigham and Women's Hospital, Boston, Massachusetts, 02115, United States|Columbia University, New York, New York, 10027, United States|University of Utah, Salt Lake City, Utah, 84112, United States"
NCT03811847,A Pilot of Methylphenidate in Mild Cognitive Impairment and Dementia Participants.,https://clinicaltrials.gov/study/NCT03811847,COMPLETED,Alzheimer Dementia,DRUG: Methylphenidate Extended Release Oral Capsule|OTHER: Placebo,Massachusetts General Hospital,,ALL,"ADULT, OLDER_ADULT",PHASE4,11,INTERVENTIONAL,2019-11-01,2021-08-30,"Massachusetts General Hospital, Clinical Translational Research Unit, Charlestown, Massachusetts, 02129, United States"
NCT03724942,Brexpiprazole for the Long-term Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type,https://clinicaltrials.gov/study/NCT03724942,COMPLETED,Agitation Associated With Dementia of the Alzheimer's Type,DRUG: Brexpiprazole,"Otsuka Pharmaceutical Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",PHASE3,164,INTERVENTIONAL,2018-11-09,2022-01-05,"Jisenkai Nanko Psychiatric Institute, Shirakawa, Japan"
NCT03620981,Brexpiprazole for the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type,https://clinicaltrials.gov/study/NCT03620981,COMPLETED,Agitation Associated With Dementia of the Alzheimer's Type,DRUG: Brexpiprazole|DRUG: Placebo,"Otsuka Pharmaceutical Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,410,INTERVENTIONAL,2018-08-20,2023-05-15,"Jisenkai Nanko Psychiatric Institute, Shirakawa, Japan"
NCT02442765,"Efficacy, Safety and Tolerability of AVP-786 for the Treatment of Agitation in Patients With Dementia of the Alzheimer's Type",https://clinicaltrials.gov/study/NCT02442765,COMPLETED,Agitation in Patients With Dementia of the Alzheimer's Type,DRUG: AVP-786|DRUG: Placebo,"Otsuka Pharmaceutical Development & Commercialization, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE3,387,INTERVENTIONAL,2015-07-23,2019-02-27,"Clinical Research Site, Phoenix, Arizona, 85032, United States|Clinical Research Site, Scottsdale, Arizona, 85254, United States|Clinical Research Site, Little Rock, Arkansas, 72209, United States|Clinical Research Site#1, Irvine, California, 92697, United States|Clinical Research Site#2, Irvine, California, 92697, United States|Clinical Research Site, Long Beach, California, 90806, United States|Clinical Research Site, Oceanside, California, 92056, United States|Clinical Research Site, Orange, California, 92868, United States|Clinical Research Site#1, San Diego, California, 92103, United States|Clinical Research Site#2, San Diego, California, 92103, United States|Clinical Research Site, Santa Ana, California, 92704, United States|Clinical Research Site, Tustin, California, 92780, United States|Clinical Research Site, Denver, Colorado, 80209, United States|Clinical Research Site, Cromwell, Connecticut, 06416, United States|Clinical Research Site, New London, Connecticut, 06320, United States|Clinical Research Site, Norwalk, Connecticut, 06851, United States|Clinical Research Site, Atlantis, Florida, 33462, United States|Clinical Research Site, Boca Raton, Florida, 33428, United States|Clinical Research Site, Brandon, Florida, 33511, United States|Clinical Research Site#1, Coral Gables, Florida, 33134, United States|Clinical Research Site#2, Coral Gables, Florida, 33134, United States|Clinical Research Site#3, Coral Gables, Florida, 33134, United States|Clinical Research Site#1, Deerfield Beach, Florida, 33064, United States|Clinical Research Site, Doral, Florida, 33166, United States|Clinical Research Site, Hialeah, Florida, 33012, United States|Clinical Research Site#1, Hialeah, Florida, 33016, United States|Clinical Research Site#2, Hialeah, Florida, 33016, United States|Clinical Research Site, Jacksonville, Florida, 32256, United States|Clinical Research Site, Kendall, Florida, 33175, United States|Clinical Research Site, Kissimmee, Florida, 34741, United States|Clinical Research Site, Kissimmee, Florida, 34744, United States|Clinical Research Site, Lake Worth, Florida, 33449, United States|Clinical Research Site, Miami, Florida, 33122, United States|Clinical Research Site#1, Miami, Florida, 33125, United States|Clinical Research Site#2, Miami, Florida, 33125, United States|Clinical Research Site, Miami, Florida, 33126, United States|Clinical Research Site, Miami, Florida, 33133, United States|Clinical Research Site#1, Miami, Florida, 33135, United States|Clinical Research Site#2, Miami, Florida, 33135, United States|Clinical Research Site, Miami, Florida, 33136, United States|Clinical Research Site, Miami, Florida, 33137, United States|Clinical Research Site, Miami, Florida, 33144, United States|Clinical Research Site, Miami, Florida, 33145, United States|Clinical Research Site, Miami, Florida, 33165, United States|Clinical Research Site, Miami, Florida, 33175, United States|Clinical Research Site#2, Miami, Florida, 33176, United States|Clinical Research Site, Miami, Florida, 33183, United States|Clinical Research Site, Miami, Florida, 33467, United States|Clinical Research Site, Naples, Florida, 34102, United States|Clinical Research Site, Oakland Park, Florida, 33334, United States|Clinical Research Site, Orlando, Florida, 32819, United States|Clinical Research Site, Ormond Beach, Florida, 32174, United States|Clinical Research Site, Palm Beach Gardens, Florida, 33410, United States|Clinical Research Site, Palmetto Bay, Florida, 33157, United States|Clinical Research Site#2, Pompano Beach, Florida, 33064, United States|Clinical Research Site, Saint Petersburg, Florida, 33713, United States|Clinical Research Site, Sarasota, Florida, 34243, United States|Clinical Research Site#1, Tampa, Florida, 33609, United States|Clinical Research Site#2, Tampa, Florida, 33609, United States|Clinical Research Site#2, Tampa, Florida, 33613, United States|Clinical Research Site, Tampa, Florida, 33634, United States|Clinical Research Site, The Villages, Florida, 32162, United States|Clinical Research Site, West Palm Beach, Florida, 33407, United States|Clinical Research Site, Winter Park, Florida, 32789, United States|Clinical Research Site, Atlanta, Georgia, 30342, United States|Clinical Research Site, Newnan, Georgia, 30265, United States|Clinical Research Site, Honolulu, Hawaii, 96817, United States|Clinical Research Site, Schaumburg, Illinois, 60194, United States|Clinical Research Site, Indianapolis, Indiana, 46202, United States|Clinical Research Site, Lenexa, Kansas, 66214, United States|Clinical Research Site, Paducah, Kentucky, 42003, United States|Clinical Research Site, Bedford, Massachusetts, 01730, United States|Clinical Research Site, Quincy, Massachusetts, 02169, United States|Clinical Research Site, Ann Arbor, Michigan, 48105, United States|Clinical Research Site, Paw Paw, Michigan, 49079, United States|Clinical Research Site, Hattiesburg, Mississippi, 39401, United States|Clinical Research Site, Creve Coeur, Missouri, 63141, United States|Clinical Research Site, Saint Louis, Missouri, 63128, United States|Clinical Research Site, Mount Arlington, New Jersey, 07856, United States|Clinical Research Site, Toms River, New Jersey, 08755, United States|Clinical Research Site, West Long Branch, New Jersey, 07764, United States|Clinical Research Site, Amherst, New York, 14226, United States|Clinical Research Site, Brooklyn, New York, 11229, United States|Clinical Research Site, New York, New York, 10032, United States|Clinical Research Site, New York, New York, 10036, United States|Clinical Research Site, Orangeburg, New York, 10962, United States|Clinical Research Site, Rochester, New York, 14620, United States|Clinical Research Site, Staten Island, New York, 10312, United States|Clinical Research Site, Durham, North Carolina, 27710, United States|Clinical Research Site, Winston-Salem, North Carolina, 27157, United States|Clinical Research Site, Akron, Ohio, 44320, United States|Clinical Research Site, Cincinnati, Ohio, 45219, United States|Clinical Research Site#1, Columbus, Ohio, 43210, United States|Clinical Research Site#2, Columbus, Ohio, 43210, United States|Clinical Research Site, Dayton, Ohio, 45459, United States|Clinical Research Site, Westerville, Ohio, 43082, United States|Clinical Research Site, Edmond, Oklahoma, 73012, United States|Clinical Research Site, Oklahoma City, Oklahoma, 73103, United States|Clinical Research Site, Oklahoma City, Oklahoma, 73106, United States|Clinical Research Site, Oklahoma City, Oklahoma, 73112, United States|Clinical Research Site, Moosic, Pennsylvania, 18507, United States|Clinical Research Site, Willow Grove, Pennsylvania, 19090, United States|Clinical Research Site, East Providence, Rhode Island, 02914, United States|Clinical Research Site, Charleston, South Carolina, 29401, United States|Clinical Research Site#2, Cordova, Tennessee, 38018, United States|Clinical Research Site, Dallas, Texas, 75231, United States|Clinical Research Site, Dallas, Texas, 75390-8898, United States|Clinical Research Site, Irving, Texas, 75062, United States|Clinical Research Site, Mansfield, Texas, 76063, United States|Clinical Research Site, Clinton, Utah, 84015, United States|Clinical Research Site, Woodstock, Vermont, 05091, United States|Clinical Research Site#1, Tallinn, 11315, Estonia|Clinical Research Site#2, Tallinn, 11315, Estonia|Clinical Research Site, Tartu, 50406, Estonia|Clinical Research Site, Mittweida, 9648, Germany|Clinical Research Site, Lublin, Lubelskie, 20-093, Poland|Clinical Research Site, Bydgoszcz, 85-163, Poland|Clinical Research Site, Kielce, 25-411, Poland|Clinical Research Site, Lublin, 20-064, Poland|Clinical Research Site, Poznan, 60-369, Poland|Clinical Research Site, Poznan, 61-853, Poland|Clinical Research Site, Pruszcz Gdanski, 83-000, Poland|Clinical Research Site, Siemianowice Śląskie, 41-100, Poland|Clinical Research Site, Torres Vedras, 2560-280, Portugal|Clinical Research Site, Bayamon, 961, Puerto Rico|Clinical Research Site, San Juan, 918, Puerto Rico"
NCT02442778,"Efficacy, Safety, and Tolerability of AVP-786 for the Treatment of Agitation in Participants With Dementia of the Alzheimer's Type",https://clinicaltrials.gov/study/NCT02442778,COMPLETED,Agitation in Participants With Dementia of the Alzheimer's Type,DRUG: AVP-786-18|DRUG: Placebo|DRUG: AVP-786-28|DRUG: AVP-786-42.63,"Otsuka Pharmaceutical Development & Commercialization, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE3,522,INTERVENTIONAL,2015-11-11,2019-09-09,"Brain and Spine Center, Chandler, Arizona, 85226, United States|Territory Neurology & Research Institute, Tucson, Arizona, 85704, United States|Health Initiatives Research, Fayetteville, Arkansas, 72703, United States|Behavioral Research Specialists, LLC, Glendale, California, 91206, United States|Irvine Center for Clinical Research, Irvine, California, 92614, United States|California Neurological Services, Panorama City, California, 91402, United States|Havana Research Institute, Pasadena, California, 91105, United States|Pacific Research Network, Inc, San Diego, California, 92103, United States|Syrentis Clinical Research, Santa Ana, California, 92705, United States|Viking Clinical Research, Temecula, California, 92591, United States|Denver Neurological Research, LLC, Denver, Colorado, 80210, United States|JEM Research Institute, Atlantis, Florida, 33462, United States|Clinical Research Of Brandon, LLC, Brandon, Florida, 33511, United States|Meridien Research, Brooksville, Florida, 34601, United States|Moonshine Research Center, Inc, Doral, Florida, 33166, United States|Science Connections, LLC, Doral, Florida, 33166, United States|Finlay Medical Research Corp, Greenacres City, Florida, 33467, United States|Indago Research & Health Center, Inc., Hialeah, Florida, 33012, United States|New Life Medical Research Center, Inc., Hialeah, Florida, 33012, United States|Reliable Clinical Research,LLC, Hialeah, Florida, 33012, United States|Research in Miami, Inc, Hialeah, Florida, 33013, United States|The Research Center, Inc, Hialeah, Florida, 33013, United States|Maxblue Institute, Hialeah, Florida, 33018, United States|Clinical Neuroscience Solutions, Inc., Jacksonville, Florida, 32256, United States|Alzheimer's Research and Treatment Center, Lake Worth, Florida, 33449, United States|Premier Clinical Research Institute, Inc., Miami, Florida, 33122, United States|Project 4 Research, Miami, Florida, 33125, United States|BioMed Research Institute, Miami, Florida, 33126, United States|CCM Clinical Research Group, Miami, Florida, 33133, United States|DADE Research Center, LLC, Miami, Florida, 33135, United States|AMB Research Center, Inc., Miami, Florida, 33144, United States|United Health Research Corp, Miami, Florida, 33144, United States|Advance Medical Research Center, Miami, Florida, 33165, United States|Coral Research Clinic Corp, Miami, Florida, 33175, United States|P&S Reasearch, Miami, Florida, 33175, United States|The Neurology Research Group, LLC, Miami, Florida, 33176, United States|Kendall Research Institute, Miami, Florida, 33183, United States|Nuovida Research Center Corp., Miami, Florida, 33186, United States|Collier Neurologic Specialists, LLC, Naples, Florida, 34102, United States|Lazlo J. Mate, MD, PA, North Palm Beach, Florida, 33408, United States|Compass Research, LLC, Orlando, Florida, 32806, United States|IMIC Inc., Palmetto Bay, Florida, 33157, United States|University of West Florida, Pensacola, Florida, 32514, United States|Neurology Research Institute Palm Beach, LLC, West Palm Beach, Florida, 33407, United States|Emory Brain Health Center, Atlanta, Georgia, 30329, United States|Columbus Research & Wellness Institute, INC, Columbus, Georgia, 31904, United States|Josephson Wallack Munshower Neurology, PC, Indianapolis, Indiana, 46256, United States|Baptist Health Medical Group, Richmond, Kentucky, 40475, United States|The Samuel & Alexia Bratton Memory Clinic, Easton, Maryland, 21601, United States|Mir Neurology, Hagerstown, Maryland, 21742, United States|Boston Center for Memory, Newton, Massachusetts, 02459, United States|AMAC Research Institute, North Dartmouth, Massachusetts, 02747, United States|Michigan State University, East Lansing, Michigan, 48824, United States|Center for Emotional Fitness, Cherry Hill, New Jersey, 08002, United States|The NeuroCognitive Institute, Mount Arlington, New Jersey, 07856, United States|Brooklyn Medical Institute, Brooklyn, New York, 11214, United States|Integrative Clinical Trials, LLC, Brooklyn, New York, 11229, United States|Eastside Comprehensive Medical Center, LLC, New York, New York, 10128, United States|Burke Rehabilitation Hospital, White Plains, New York, 10605, United States|Herbert Harris, MD, PhD, PA, Chapel Hill, North Carolina, 27517, United States|ANI Neurology PLLC dba Alzheimer's Memory Center, Charlotte, North Carolina, 28270, United States|Daystar Clinical Research Inc, Akron, Ohio, 44313, United States|Valley Medical Research, Centerville, Ohio, 45459, United States|CTI Clinical Research Center, Cincinnati, Ohio, 45212, United States|Cleveland Clinic Lou Ruvo Center for Brain Health at Lakewood Hospital, Lakewood, Ohio, 44107, United States|Heritage Valley Medical Group, Inc., Beaver, Pennsylvania, 15009, United States|The Birches at Newton / Family Medical Associates, Levittown, Pennsylvania, 19056, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|RH Johnson VA Medical Center, Charleston, South Carolina, 29401, United States|BG Neurology, Spartanburg, South Carolina, 29307, United States|Texas Neurology, P.A., Dallas, Texas, 75214, United States|Baylor College of Medicine, Houston, Texas, 77030, United States|Houston Methodist Neurological Institute, Houston, Texas, 77030, United States|Clinical Trial Network, Houston, Texas, 77074, United States|Texas Medical Research Associates, L.L.C., San Antonio, Texas, 78238, United States|Pharmaceuticals Research Associates, Inc., Salt Lake City, Utah, 84107, United States|Clinical Neuroscience Research Associates, Inc. dba The Memory Clinic, Bennington, Vermont, 05201, United States|Veteran Affairs Medical Center, Salem Virginia, Salem, Virginia, 24153, United States|IPC Research, Waukesha, Wisconsin, 53188, United States|Dr. Alexander McIntyre Inc., Calgary, Alberta, N7L 1C1, Canada|The Medical Art Health Research Group, Kelowna, Bristish Columbia, Canada|The Medical Art Health Research Group, Penticton, Bristish Columbia, Canada|The Medical Art Health Research Group, West Vancouver, Bristish Columbia, Canada"
NCT03602391,The Senior Companion Program Plus,https://clinicaltrials.gov/study/NCT03602391,COMPLETED,Family|Alzheimer Dementia,BEHAVIORAL: SCP Plus,The University of Texas at Arlington,National Institute on Aging (NIA),ALL,"ADULT, OLDER_ADULT",NA,20,INTERVENTIONAL,2019-05-16,2023-06-30,"The Senior Source, Dallas, Texas, 75219, United States"
